,area_type,availability,location,size,total_sqft,bath,balcony,price
7718,Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,2650.0,3.0,2.0,125.0
7719,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1075.0,2.0,1.0,40.0
7720,Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1400.0,2.0,3.0,78.0
7721,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1400.0,2.0,1.0,55.0
7722,Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845.0,2.0,1.0,30.0
7723,Super built-up  Area,Ready To Move,Hegde Nagar,4 BHK,2600.0,4.0,3.0,40.0
7724,Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,3854.5,6.0,0.0,385.5
7725,Super built-up  Area,Ready To Move,Richards Town,2 BHK,800.0,2.0,1.0,85.0
7726,Super built-up  Area,Ready To Move,Gunjur,2 BHK,1175.0,2.0,2.0,43.48
7727,Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,2400.0,3.0,0.0,270.0
7728,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,2.0,109.0
7729,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1800.0,3.0,1.0,90.0
7730,Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,1200.0,3.0,0.0,140.0
7731,Super built-up  Area,18-Jun,Rajaji Nagar,3 BHK,1613.0,3.0,0.0,150.0
7732,Super built-up  Area,Ready To Move,Jakkur,4 BHK,6830.0,5.0,0.0,795.0
7733,Built-up  Area,Ready To Move,Whitefield,2 BHK,1290.0,2.0,0.0,90.0
7734,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1375.0,2.0,1.0,78.0
7735,Super built-up  Area,Ready To Move,Bagalur,2 BHK,985.0,2.0,2.0,57.0
7736,Plot  Area,Ready To Move,Jeevan bima nagar,4 Bedroom,1200.0,4.0,1.0,200.0
7737,Super built-up  Area,Ready To Move,Singasandra,2 BHK,1099.0,2.0,1.0,37.5
7738,Super built-up  Area,18-Mar,Electronic City,1 BHK,605.0,1.0,0.0,13.31
7739,Super built-up  Area,Ready To Move,1 Immadihalli,11 BHK,6000.0,12.0,0.0,150.0
7740,Built-up  Area,Ready To Move,RMV Extension Stage 2,7 Bedroom,3600.0,7.0,3.0,160.0
7741,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,1.0,53.0
7742,Built-up  Area,Ready To Move,Hulimavu,2 BHK,1000.0,2.0,1.0,45.0
7743,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1159.0,2.0,3.0,38.0
7744,Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,3692.0,5.0,0.0,340.0
7745,Plot  Area,Ready To Move,Devi Nagar,2 Bedroom,600.0,2.0,1.0,80.0
7746,Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,2400.0,4.0,3.0,600.0
7747,Built-up  Area,Ready To Move,BTM Layout,3 BHK,1540.0,2.0,2.0,78.0
7748,Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",3 BHK,1503.0,2.0,2.0,93.0
7749,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1850.0,4.0,2.0,120.0
7750,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1580.0,3.0,1.0,60.0
7751,Super built-up  Area,Ready To Move,Mico Layout,2 BHK,1190.0,2.0,2.0,39.25
7752,Plot  Area,Ready To Move,Sampigehalli,2 Bedroom,1200.0,2.0,1.0,61.0
7753,Plot  Area,Ready To Move,HAL 2nd Stage,7 Bedroom,1000.0,7.0,3.0,250.0
7754,Super built-up  Area,18-Nov,Jakkur,2 BHK,850.0,1.0,1.0,19.9
7755,Super built-up  Area,Ready To Move,Domlur,3 BHK,2180.0,3.0,2.0,285.0
7756,Super built-up  Area,Ready To Move,Hennur Bande,3 BHK,2500.0,2.0,1.0,60.0
7757,Plot  Area,18-Dec,ITPL,3 Bedroom,1200.0,3.0,1.0,56.12
7758,Super built-up  Area,Ready To Move,Kamakshipalya,3 BHK,1500.0,2.0,2.0,52.0
7759,Plot  Area,Ready To Move,Navodaya Nagar,5 Bedroom,1200.0,3.0,2.0,180.0
7760,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1880.0,3.0,3.0,120.0
7761,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1150.0,2.0,2.0,45.0
7762,Plot  Area,18-May,Kasavanhalli,4 Bedroom,4408.0,4.0,2.0,344.0
7763,Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,7800.0,6.0,0.0,385.0
7764,Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,600.0,6.0,3.0,100.0
7765,Plot  Area,18-Feb,Pattanagere,4 Bedroom,750.0,4.0,1.0,95.0
7766,Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,1962.0,3.0,2.0,175.0
7767,Super built-up  Area,18-Nov,B Narayanapura,3 BHK,1765.0,3.0,2.0,77.27
7768,Super built-up  Area,Ready To Move,Attibele,2 BHK,1174.0,2.0,1.0,29.35
7769,Super built-up  Area,19-Jun,Bannerghatta Road,3 BHK,1894.0,3.0,1.0,115.0
7770,Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,960.0,2.0,2.0,138.0
7771,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,1760.0,3.0,2.0,142.0
7772,Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1768.0,3.0,3.0,95.0
7773,Built-up  Area,Ready To Move,Kothanur,3 BHK,1790.0,3.0,0.0,97.0
7774,Plot  Area,17-Jul,Kumara Park,4 Bedroom,3500.0,5.0,1.0,800.0
7775,Plot  Area,18-Dec,Whitefield,2 Bedroom,1200.0,2.0,1.0,45.0
7776,Built-up  Area,Ready To Move,Kengeri,4 Bedroom,2540.0,4.0,0.0,160.0
7777,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1137.0,2.0,1.0,53.4
7778,Super built-up  Area,22-May,Jakkur,4 BHK,3181.0,2.0,0.0,229.0
7779,Plot  Area,Ready To Move,Guni Agrahara,7 Bedroom,1200.0,6.0,0.0,115.0
7780,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1568.0,2.0,2.0,100.0
7781,Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,4920.0,4.0,0.0,393.5
7782,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1308.0,2.0,1.0,60.0
7783,Super built-up  Area,19-Aug,Shankarapuram,4 BHK,3060.0,4.0,2.0,350.0
7784,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1200.0,2.0,1.0,41.0
7785,Super built-up  Area,Ready To Move,Shetty Halli,1 BHK,800.0,1.0,2.0,32.0
7786,Super built-up  Area,19-Dec,Electronic City,1 BHK,530.0,1.0,1.0,13.5
7787,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,873.0,2.0,1.0,40.0
7788,Plot  Area,Ready To Move,AGB Layout,7 Bedroom,3000.0,6.0,3.0,145.0
7789,Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,1.0,235.0
7790,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,958.0,2.0,1.0,33.53
7791,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2273.0,3.0,3.0,159.0
7792,Plot  Area,18-May,Banashankari Stage VI,3 Bedroom,600.0,3.0,2.0,90.0
7793,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760.0,1.0,2.0,50.0
7794,Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1090.0,2.0,2.0,43.5
7795,Super built-up  Area,Ready To Move,Bellandur,3 BHK,2666.0,3.0,1.0,230.0
7796,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1550.0,2.0,1.0,89.0
7797,Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,1251.0,2.0,1.0,50.0
7798,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,53.0
7799,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,45.0
7800,Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1435.0,2.0,2.0,60.0
7801,Built-up  Area,Ready To Move,Bommasandra,3 BHK,1400.0,2.0,3.0,45.0
7802,Super built-up  Area,Ready To Move,Judicial Layout,4 BHK,2330.0,3.0,2.0,94.71
7803,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1200.0,2.0,3.0,60.0
7804,Super built-up  Area,Ready To Move,Panathur,2 BHK,1000.0,2.0,2.0,40.0
7805,Super built-up  Area,18-Sep,Bannerghatta Road,3 BHK,1655.0,2.0,2.0,62.89
7806,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,3600.0,9.0,3.0,240.0
7807,Plot  Area,Ready To Move,Bidrahalli,1 Bedroom,600.0,1.0,1.0,35.0
7808,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175.0,2.0,1.0,50.0
7809,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1155.0,2.0,2.0,40.43
7810,Plot  Area,Ready To Move,Magadi Road,3 Bedroom,1200.0,3.0,2.0,98.0
7811,Super built-up  Area,Ready To Move,Budigere,2 BHK,1149.0,2.0,2.0,65.0
7812,Super built-up  Area,Ready To Move,Jakkur,3 BHK,1745.0,2.0,0.0,98.485
7813,Plot  Area,Ready To Move,Choodasandra,4 Bedroom,3200.0,4.0,2.0,375.0
7814,Super built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,1010.0,2.0,2.0,55.0
7815,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1718.0,3.0,2.0,119.0
7816,Super built-up  Area,Ready To Move,Bilal Nagar,2 BHK,650.0,1.0,1.0,20.0
7817,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1330.0,2.0,2.0,77.0
7818,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200.0,2.0,2.0,68.0
7819,Super built-up  Area,21-Dec,Bannerghatta Road,3 BHK,1693.0,3.0,2.0,89.0
7820,Super built-up  Area,19-Dec,Koramangala,2 BHK,1249.0,2.0,1.0,165.0
7821,Built-up  Area,Ready To Move,Thanisandra,3 BHK,1800.0,4.0,1.0,125.0
7822,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,900.0,2.0,0.0,55.0
7823,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,1.0,46.0
7824,Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,1700.0,3.0,2.0,77.0
7825,Built-up  Area,18-Jun,Panathur,1 BHK,661.0,1.0,1.0,40.0
7826,Super built-up  Area,17-Sep,Bannerghatta Road,2 BHK,1280.0,2.0,2.0,60.16
7827,Plot  Area,Ready To Move,Krishna Nagar,5 Bedroom,1000.0,4.0,2.0,90.0
7828,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1170.0,2.0,1.0,48.0
7829,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,933.0,2.0,1.0,58.0
7830,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1150.0,2.0,0.0,44.0
7831,Super built-up  Area,Ready To Move,Benson Town,4 BHK,3633.0,6.0,2.0,550.0
7832,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1380.0,3.0,3.0,130.0
7833,Built-up  Area,Ready To Move,Banjara Layout,2 Bedroom,1050.0,2.0,1.0,64.8
7834,Super built-up  Area,Ready To Move,Kanakapura Main Road,2 BHK,1080.0,2.0,1.0,37.8
7835,Super built-up  Area,Ready To Move,Harlur,2 BHK,1303.0,2.0,1.0,90.0
7836,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,2.0,40.54
7837,Built-up  Area,Ready To Move,Nagarbhavi,5 Bedroom,2500.0,3.0,2.0,180.0
7838,Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,1200.0,4.0,1.0,95.0
7839,Super built-up  Area,18-May,Bommanahalli,3 BHK,1250.0,3.0,2.0,41.0
7840,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1419.0,2.0,3.0,87.0
7841,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1200.0,2.0,3.0,49.0
7842,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120.0,2.0,2.0,65.0
7843,Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,762.5,1.0,0.0,45.4
7844,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1245.0,2.0,1.0,75.0
7845,Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,3978.0,4.0,3.0,428.0
7846,Super built-up  Area,Ready To Move,Channasandra,2 BHK,1093.0,2.0,1.0,34.0
7847,Super built-up  Area,18-Jul,Electronic City,2 BHK,1025.0,1.0,1.0,26.63
7848,Super built-up  Area,Ready To Move,Hebbal,2 BHK,1345.0,2.0,1.0,97.0
7849,Plot  Area,Ready To Move,Suryanagar,2 Bedroom,1500.0,2.0,1.0,45.0
7850,Super built-up  Area,21-Jun,Vijayanagar,2 BHK,1180.0,2.0,1.0,86.0
7851,Super built-up  Area,Ready To Move,Nanjappa Layout,3 BHK,1800.0,3.0,3.0,85.0
7852,Super built-up  Area,18-Aug,Konanakunte,4 BHK,3621.0,4.0,1.0,511.0
7853,Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,2008.0,3.0,2.0,170.0
7854,Super built-up  Area,18-Jun,Kothannur,3 BHK,1240.0,2.0,2.0,39.85
7855,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1020.0,2.0,1.0,55.0
7856,Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,2095.0,3.0,2.0,142.0
7857,Super built-up  Area,Ready To Move,Gunjur,3 BHK,1362.0,3.0,2.0,62.63
7858,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,694.0,1.0,0.0,30.84
7859,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404.0,2.0,2.0,70.0
7860,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1192.0,2.0,3.0,47.0
7861,Plot  Area,Ready To Move,Wilson Garden,8 Bedroom,1850.0,12.0,0.0,300.0
7862,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,1050.0,1.0,0.0,35.0
7863,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1259.0,2.0,1.0,67.48
7864,Super built-up  Area,Ready To Move,Kengeri,2 BHK,1000.0,2.0,2.0,34.0
7865,Super built-up  Area,20-Dec,Rachenahalli,2 BHK,985.0,2.0,1.0,49.97
7866,Built-up  Area,Ready To Move,Indira Nagar,1 BHK,850.0,1.0,2.0,60.0
7867,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1650.0,2.0,1.0,50.0
7868,Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,2400.0,3.0,1.0,320.0
7869,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1900.0,4.0,1.0,180.0
7870,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1367.0,2.0,2.0,86.0
7871,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1210.0,2.0,2.0,81.0
7872,Super built-up  Area,Ready To Move,Duvasapalya,2 BHK,1190.0,2.0,1.0,48.6
7873,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1175.0,2.0,2.0,42.0
7874,Super built-up  Area,Ready To Move,R.T. Nagar,4 BHK,2800.0,4.0,0.0,400.0
7875,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140.0,2.0,2.0,40.0
7876,Super built-up  Area,Ready To Move,Hoskote,2 BHK,1095.0,2.0,2.0,33.6
7877,Super built-up  Area,Ready To Move,Attibele,1 BHK,782.0,1.0,0.0,19.55
7878,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1435.0,2.0,2.0,80.0
7879,Super built-up  Area,Ready To Move,Choodasandra,2 BHK,725.0,2.0,2.0,36.0
7880,Built-up  Area,Ready To Move,BCMC Layout,3 BHK,1600.0,2.0,2.0,88.0
7881,Plot  Area,Ready To Move,9th Phase JP Nagar,5 Bedroom,1200.0,5.0,0.0,160.0
7882,Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205.0,4.0,2.0,300.0
7883,Plot  Area,Ready To Move,Vishwapriya Layout,4 Bedroom,720.0,3.0,1.0,95.0
7884,Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1674.0,3.0,0.0,90.0
7885,Plot  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,860.0,4.0,2.0,125.0
7886,Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1703.0,3.0,2.0,130.0
7887,Super built-up  Area,18-May,Padmanabhanagar,3 BHK,1350.0,3.0,1.0,71.55
7888,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1145.0,2.0,1.0,41.21
7889,Super built-up  Area,18-Apr,Whitefield,2 BHK,1216.0,2.0,1.0,75.0
7890,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,3.0,1.0,60.0
7891,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2425.0,5.0,1.0,201.0
7892,Plot  Area,Ready To Move,Kothanur,4 Bedroom,2700.0,4.0,2.0,175.0
7893,Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1600.0,3.0,3.0,90.0
7894,Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,1510.0,3.0,3.0,47.57
7895,Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3033.0,4.0,1.0,326.0
7896,Plot  Area,Ready To Move,Pai Layout,2 Bedroom,780.0,2.0,1.0,72.0
7897,Built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1250.0,2.0,2.0,110.0
7898,Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,1480.0,4.0,1.0,169.0
7899,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1250.0,4.0,1.0,100.0
7900,Plot  Area,Ready To Move,Udaya Nagar,4 Bedroom,1350.0,4.0,2.0,160.0
7901,Built-up  Area,Ready To Move,Laggere,1 Bedroom,620.0,2.0,0.0,48.0
7902,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1630.0,3.0,2.0,60.65
7903,Built-up  Area,Ready To Move,Hennur Road,2 BHK,1020.0,2.0,0.0,45.0
7904,Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,1410.0,2.0,2.0,53.58
7905,Carpet  Area,18-Dec,Bhoganhalli,2 BHK,1181.7,2.0,1.0,100.0
7906,Plot  Area,Ready To Move,9th Block Jayanagar,9 Bedroom,1200.0,8.0,3.0,270.0
7907,Built-up  Area,Ready To Move,KR Puram,4 Bedroom,1200.0,4.0,0.0,83.0
7908,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1200.0,2.0,3.0,60.0
7909,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1050.0,2.0,2.0,50.0
7910,Super built-up  Area,21-Dec,Whitefield,2 BHK,1356.0,2.0,1.0,94.84
7911,Super built-up  Area,20-Dec,Whitefield,2 BHK,1338.0,2.0,1.0,103.0
7912,Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,1 BHK,500.0,1.0,1.0,20.0
7913,Super built-up  Area,18-Aug,Vasantha Vallabha Nagar,3 BHK,1280.0,2.0,1.0,100.0
7914,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1531.0,3.0,3.0,51.77
7915,Super built-up  Area,18-May,Church Street,4 BHK,11000.0,4.0,1.0,1600.0
7916,Built-up  Area,Ready To Move,Anekal,2 BHK,620.0,1.0,1.0,23.5
7917,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1605.0,2.0,2.0,65.0
7918,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1917.0,3.0,2.0,110.0
7919,Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,1200.0,3.0,1.0,340.0
7920,Super built-up  Area,Ready To Move,Srinivas Colony,3 BHK,2750.0,3.0,2.0,943.0
7921,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1400.0,3.0,2.0,55.0
7922,Built-up  Area,Ready To Move,Thubarahalli,3 BHK,2625.0,3.0,3.0,175.0
7923,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2041.0,3.0,3.0,128.0
7924,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2070.0,4.0,2.0,160.0
7925,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1110.0,3.0,3.0,59.0
7926,Built-up  Area,Ready To Move,Uday Nagar,3 BHK,1650.0,3.0,1.0,110.0
7927,Plot  Area,18-Dec,Ambedkar Nagar,4 Bedroom,3565.0,4.0,3.0,255.0
7928,Super built-up  Area,19-Dec,Varthur Road,3 BHK,1033.0,2.0,2.0,30.47
7929,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1142.0,2.0,2.0,65.0
7930,Super built-up  Area,Ready To Move,Mathikere,3 BHK,1500.0,2.0,2.0,75.0
7931,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1502.0,3.0,3.0,50.0
7932,Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,3 BHK,1176.0,2.0,1.0,45.0
7933,Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.8
7934,Built-up  Area,Ready To Move,Kammanahalli,2 BHK,1100.0,2.0,1.0,60.0
7935,Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1044.0,2.0,2.0,85.0
7936,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,5400.0,3.0,2.0,700.0
7937,Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216.0,2.0,2.0,60.0
7938,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1425.0,3.0,2.0,55.0
7939,Plot  Area,Ready To Move,Hongasandra,8 Bedroom,1200.0,8.0,2.0,150.0
7940,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1345.0,2.0,2.0,108.0
7941,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1248.0,2.0,1.0,130.0
7942,Plot  Area,Ready To Move,Chaitanya Ananya,4 Bedroom,1830.0,4.0,2.0,325.0
7943,Built-up  Area,Ready To Move,Shankarapuram,2 BHK,900.0,1.0,0.0,130.0
7944,Built-up  Area,Ready To Move,Bellandur,4 Bedroom,3600.0,4.0,0.0,245.0
7945,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1025.0,2.0,1.0,35.88
7946,Plot  Area,Ready To Move,Nagashetty Halli,2 Bedroom,840.0,1.0,1.0,99.0
7947,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,3050.0,2.0,0.0,90.0
7948,Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1424.0,2.0,2.0,75.0
7949,Built-up  Area,Ready To Move,EPIP Zone,3 BHK,2500.0,3.0,1.0,268.0
7950,Plot  Area,Ready To Move,ISRO Layout,6 Bedroom,1200.0,6.0,0.0,230.0
7951,Super built-up  Area,18-Aug,Byrasandra Extension,2 BHK,1285.0,2.0,2.0,45.0
7952,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1450.0,2.0,1.0,55.99
7953,Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,1160.0,2.0,1.0,70.0
7954,Plot  Area,Ready To Move,Yelahanka New Town,3 Bedroom,2700.0,3.0,0.0,350.0
7955,Plot  Area,18-Apr,Gattahalli,3 Bedroom,2000.0,2.0,2.0,95.0
7956,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125.0,2.0,1.0,47.65
7957,Built-up  Area,Ready To Move,Old Madras Road,4 Bedroom,3900.0,4.0,2.0,175.0
7958,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,1.0,38.37
7959,Super built-up  Area,Ready To Move,Arekere,2 BHK,1240.0,2.0,2.0,60.0
7960,Super built-up  Area,22-Nov,Devanahalli,3 BHK,1466.0,3.0,3.0,77.59
7961,Super built-up  Area,Ready To Move,Outer Ring Road East,4 BHK,3870.0,4.0,2.0,411.0
7962,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1225.0,2.0,2.0,48.0
7963,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1300.0,2.0,1.0,54.0
7964,Super built-up  Area,19-May,Thanisandra,3 BHK,1996.0,4.0,1.0,123.0
7965,Super built-up  Area,Ready To Move,Mallathahalli,3 BHK,1320.0,2.0,2.0,55.0
7966,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1800.0,3.0,2.0,240.0
7967,Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1835.0,3.0,3.0,175.0
7968,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1435.0,3.0,2.0,90.0
7969,Super built-up  Area,Ready To Move,Whitefield,3 BHK,4097.0,3.0,0.0,400.0
7970,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1601.0,3.0,3.0,70.0
7971,Super built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,1257.0,2.0,2.0,93.0
7972,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596.0,5.0,1.0,260.0
7973,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1309.0,2.0,2.0,95.0
7974,Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,1362.0,2.0,0.0,100.0
7975,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115.0,2.0,1.0,55.0
7976,Super built-up  Area,18-Nov,manyata park,2 BHK,1322.0,2.0,1.0,61.99
7977,Super built-up  Area,Ready To Move,Telecom Layout,3 BHK,1450.0,2.0,1.0,65.0
7978,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1185.0,2.0,2.0,67.0
7979,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1790.0,3.0,3.0,120.0
7980,Plot  Area,Ready To Move,Whitefield,3 Bedroom,3450.0,4.0,2.0,208.0
7981,Super built-up  Area,Ready To Move,Budigere,1 BHK,693.0,1.0,0.0,27.375
7982,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,5400.0,4.0,2.0,750.0
7983,Super built-up  Area,Ready To Move,Devanahalli,1 BHK,775.0,1.0,0.0,39.0
7984,Built-up  Area,Ready To Move,Hoodi,2 BHK,1000.0,2.0,2.0,48.0
7985,Super built-up  Area,19-Mar,Thanisandra,2 BHK,1183.0,2.0,1.0,77.25
7986,Super built-up  Area,Ready To Move,Alur,1 BHK,425.0,1.0,1.0,15.0
7987,Built-up  Area,Ready To Move,Nelamangala,2 BHK,820.0,2.0,2.0,30.0
7988,Super built-up  Area,Ready To Move,Richmond Town,4 BHK,2230.0,4.0,0.0,792.0
7989,Built-up  Area,Ready To Move,Hebbal,2 BHK,1200.0,2.0,2.0,52.0
7990,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,43.6
7991,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1320.0,2.0,2.0,59.0
7992,Carpet  Area,18-Apr,Bikasipura,3 BHK,1450.0,3.0,2.0,68.0
7993,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1270.0,2.0,3.0,50.79
7994,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1847.0,3.0,2.0,123.0
7995,Super built-up  Area,18-May,Devanahalli,1 BHK,1020.0,2.0,1.0,49.87
7996,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1650.0,3.0,0.0,95.0
